Year,Primary Enrollment,GDP
1960,,
1961,,
1962,,24450604877.4934
1963,,18272123664.3994
1964,,25605249381.7597
1965,,28344705966.5801
1966,,28630474727.8546
1967,,24256667553.2569
1968,,26436857247.4696
1969,,31256284543.5869
1970,3385790.0,31584210365.5447
1971,3443669.0,33293199095.4681
1972,3464437.0,34733000536.2862
1973,3485495.0,52544000116.9037
1974,3544591.0,72436777342.4443
1975,3571180.0,52438647921.9226
1976,3600659.0,51169499892.1722
1977,3680185.0,56781000101.0848
1978,3726748.0,58082870156.329
1979,3819440.0,69252328951.6441
1980,3917449.0,76961923741.0701
1981,4054374.0,78676842366.5529
1982,4197372.0,84307486836.724
1983,,103979106777.911
1984,4430513.0,79092001998.032
1985,4589291.0,88416668900.2596
1986,4778264.0,110934442762.694
1987,4906907.0,111106191358.197
1988,4998963.0,126206817196.091
1989,,76636898036.4712
1990,4965396.0,141352368714.691
1991,5043792.0,189719984268.485
1992,,228788617201.696
1993,,236741715015.015
1994,5180713.0,257440000000.0
1995,,258031750000.0
1996,5250329.0,272149750000.0
1997,5153256.0,292859000000.0
1998,4665761.0,298948250000.0
1999,4823808.0,283523000000.0
2000,4900956.0,284203750000.0
2001,4950674.0,268696750000.0
2002,4986758.0,97724004251.8602
2003,4885664.0,127586973492.177
2004,4923075.0,164657930452.787
2005,4872889.0,198737095012.282
2006,4928319.0,232557260817.308
2007,4951505.0,287530508430.568
2008,4975520.0,361558037110.419
2009,4961821.0,332976484577.619
2010,4947105.0,423627422092.49
2011,4911776.0,530163281574.658
2012,4871157.0,545982375701.128
2013,4791544.0,552025140252.246
2014,4780105.0,526319673731.638
2015,4784446.0,594749285413.212
2016,4775782.0,557531376217.967
2017,4753843.0,643628665302.155
2018,4776452.0,524819742918.669
2019,4800419.0,452818426182.658
2020,,389591035520.675
2021,,491492700657.012
