Year,Primary Enrollment,GDP
1960,,17030465539.3906
1961,,17275940449.3837
1962,,19231747851.5332
1963,,23287712878.2002
1964,,20963733694.9749
1965,,22465522884.0988
1966,,28283323733.1114
1967,,31086389194.961
1968,,33930457425.2613
1969,,37171640818.5863
1970,12812029.0,42327664793.6934
1971,13623388.0,48869830901.7878
1972,13676582.0,58434858374.8696
1973,13995216.0,83592275862.9982
1974,14009392.0,109794519727.538
1975,13924849.0,129203555238.827
1976,13524834.0,153168949208.207
1977,14163728.0,176344101401.941
1978,14814043.0,200278646123.581
1979,15719836.0,221338204480.222
1980,16089731.0,237393489892.637
1981,15984805.0,258015174748.648
1982,16694572.0,271314113768.417
1983,16378400.0,189656506321.431
1984,17488900.0,188339974086.58
1985,17331576.0,176123719326.593
1986,,215878631802.78
1987,17568716.0,237517984427.806
1988,18822708.0,258816125587.505
1989,18409050.0,347028139590.227
1990,20312240.0,390725626002.866
1991,19002864.0,342609227209.645
1992,19231504.0,328187944300.908
1993,19410184.0,368295777770.079
1994,19930484.0,525369851353.742
1995,,769333330368.987
1996,,850426433004.077
1997,20568128.0,883206452795.124
1998,,863711007325.493
1999,20939076.0,599642075004.471
2000,20211506.0,655448188259.351
2001,19727684.0,559983704094.17
2002,19380388.0,509795270685.19
2003,18919122.0,558233724164.711
2004,18979208.0,669289321944.516
2005,18661104.0,891633826603.377
2006,,1107626711406.63
2007,17996084.0,1397114247331.17
2008,17812436.0,1695855391810.9
2009,17451886.0,1666996294372.87
2010,16893490.0,2208838108577.09
2011,16486880.0,2616156606666.62
2012,16134889.0,2465228293894.01
2013,16760693.0,2472819362216.69
2014,16630217.0,2456043766028.73
2015,16299166.0,1802211999538.68
2016,16118565.0,1795693265810.23
2017,16106812.0,2063514688761.98
2018,15951913.0,1916933708381.89
2019,15690307.0,1873288158977.23
2020,,1448565936739.56
2021,,1608981220812.2
