Year,Primary Enrollment,GDP
1960,,637142865.714286
1961,,642857134.285714
1962,,660000008.571429
1963,,728571437.142857
1964,,782857128.571429
1965,,868571428.571429
1966,,914285714.285714
1967,,962857134.285714
1968,,1065714248.57143
1969,,978873232.394366
1970,,718401157.724163
1971,337729.0,969911421.39418
1972,484088.0,505549441.375077
1973,479616.0,702899155.982033
1974,,588443893.689773
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,1328053.0,
1982,1538838.0,
1983,1597081.0,
1984,1504839.0,
1985,1367089.0,
1986,1315531.0,
1987,1294227.0,
1988,1279053.0,
1989,1313689.0,
1990,1276960.0,
1991,1329573.0,
1992,,
1993,,2533727592.04165
1994,1621685.0,2791435272.26653
1995,1703316.0,3441205692.9166
1996,,3506695719.57259
1997,1918985.0,3443413388.6909
1998,2011772.0,3120425502.58253
1999,2127428.0,3517242477.2285
2000,2248109.0,3654031716.26881
2001,2431142.0,3984000517.02345
2002,2728698.0,4284028482.53766
2003,2772113.0,4658246918.27092
2004,2762882.0,5337833248.03924
2005,2695372.0,6293046161.83262
2006,2582250.0,7274595706.67154
2007,2479644.0,8639235842.18075
2008,2340606.0,10351914093.1723
2009,2289759.0,10401851850.6108
2010,2272527.0,11242275198.9783
2011,2224267.0,12829541141.0127
2012,2194716.0,14054443213.4639
2013,2224955.0,15227991395.2201
2014,2128685.0,16702610842.4025
2015,2178916.0,18049954289.4229
2016,2105903.0,20016747754.0192
2017,2111631.0,22177200511.5811
2018,2147313.0,24571753583.4922
2019,2163143.0,27089389786.979
2020,2165444.0,25872798012.1938
2021,,26961061119.7957
