Year,Primary Enrollment,GDP
1960,,40461721692.6468
1961,,40934952063.9468
1962,,42227447631.9159
1963,,45029988561.2124
1964,,49377522896.703
1965,,54515179580.7148
1966,,61088384036.6515
1967,,65668655501.1254
1968,,71829810519.8955
1969,,79148411661.6902
1970,,87896095320.1263
1971,2846220.0,99271961774.6088
1972,2786106.0,113082820486.918
1973,2695021.0,131321858814.119
1974,2597576.0,160408697341.513
1975,2534137.0,173834029689.343
1976,2440016.0,206575564908.722
1977,2361318.0,211612157028.679
1978,2295925.0,218632867537.477
1979,2239354.0,243072102612.259
1980,2205865.0,273853826548.067
1981,2184919.0,306214863624.99
1982,2296996.0,313506525087.136
1983,2271784.0,340547711781.889
1984,2251535.0,355372558103.621
1985,2244170.0,364756499450.751
1986,2254887.0,377437927311.983
1987,2269639.0,431316742081.448
1988,2290535.0,507354351182.254
1989,2319300.0,565055743243.243
1990,2345000.0,593929550908.468
1991,2375704.0,610328183643.188
1992,2394115.0,592387689252.916
1993,2399224.0,577170761956.438
1994,2400819.0,578139279437.61
1995,2413126.0,604031623433.401
1996,2448144.0,628546387972.131
1997,,654986999855.554
1998,2403709.0,634000000000.0
1999,2428620.0,678412196271.118
2000,2456434.0,744773415931.587
2001,,738981792355.372
2002,,760649334098.005
2003,,895540646634.787
2004,2389188.0,1026690238278.25
2005,2320738.0,1173108598778.68
2006,2305211.0,1319264809590.97
2007,2260819.0,1468820407783.26
2008,2200335.0,1552989690721.65
2009,2193237.0,1374625142157.29
2010,2168022.0,1617343367486.26
2011,2153778.0,1793326630174.52
2012,2182843.0,1828366481521.6
2013,2206136.0,1846597421834.98
2014,2249164.0,1805749878439.94
2015,2303964.0,1556508816217.14
2016,2318914.0,1527994741907.43
2017,2364626.0,1649265644244.09
2018,2407006.0,1725329192783.02
2019,2407739.0,1742015045482.31
2020,,1645423407568.36
2021,,1990761609665.23
