Year,Primary Enrollment,GDP
1960,,4110000000.0
1961,,4609727272.72727
1962,,5416272727.27273
1963,,5668187500.0
1964,,5982347826.08696
1965,,6026593750.0
1966,,7072641025.64103
1967,,7013196078.43137
1968,,7167086956.52174
1969,,8377093023.25581
1970,1752005.0,9126309734.51328
1971,1876954.0,10884114754.0984
1972,1907160.0,11853817307.6923
1973,1931356.0,16836261173.1844
1974,1937002.0,16210404183.5358
1975,1899501.0,7622217352.34216
1976,1845796.0,10341925249.0421
1977,1825758.0,13962893421.5413
1978,1810257.0,15989933708.1491
1979,1804834.0,21803696985.2349
1980,1754075.0,29036709871.7949
1981,1714614.0,34509878043.5897
1982,1676005.0,25325893205.657
1983,1647081.0,20355959237.2128
1984,1593266.0,19622527479.6913
1985,1596471.0,17702885393.5099
1986,1574899.0,18891048818.7425
1987,,22255407684.6999
1988,1543596.0,26040229793.0697
1989,1564047.0,29885685142.9107
1990,1593486.0,33113887818.957
1991,1609140.0,37834793730.3133
1992,1583503.0,45964327558.8836
1993,1608204.0,49297773130.1185
1994,,57008425295.8256
1995,,73447063319.3034
1996,1687386.0,78574385335.5811
1997,1753867.0,85728899954.449
1998,1777257.0,81995304456.1038
1999,1804612.0,75596103237.1555
2000,1798515.0,78249883995.6255
2001,,71517080040.6338
2002,1753952.0,70294892400.0639
2003,1713538.0,76507577234.5965
2004,1755997.0,99079230169.6389
2005,1720951.0,122314960843.922
2006,1694765.0,153840051814.059
2007,1679017.0,172565850839.158
2008,1656810.0,179663403196.985
2009,1611682.0,171412642047.328
2010,1546543.0,217105420016.533
2011,1520405.0,251224856981.294
2012,1503898.0,267175872540.066
2013,1472348.0,277239461340.404
2014,1469099.0,259405202008.001
2015,1477538.0,242496649874.236
2016,1493732.0,249298719723.108
2017,1514761.0,276364933679.626
2018,1540085.0,295402652037.155
2019,1552914.0,278584733103.01
2020,,252727193710.018
2021,,317058508651.76
