Year,Primary Enrollment,GDP
1960,,4031152976.63904
1961,,4540447761.19403
1962,,4955543963.36869
1963,,4836166666.66667
1964,,5973366666.66667
1965,,5760761904.7619
1966,,5428518518.51852
1967,,5825170438.48704
1968,,5960212869.12968
1969,,6450175213.74923
1970,3286052.0,7198360460.19887
1971,3466262.0,7820380970.53674
1972,3570446.0,8671358732.68486
1973,3733193.0,10315760000.3394
1974,3791543.0,12370029583.6419
1975,3911244.0,13098633901.8673
1976,4058044.0,15341403660.4698
1977,4160527.0,19470960619.1297
1978,4265598.0,23263511958.0509
1979,4337607.0,27940411250.2732
1980,4168200.0,33400735644.0481
1981,4217800.0,36388366869.0309
1982,3930303.0,38968039721.748
1983,3983141.0,38729822781.5997
1984,4009423.0,38253120737.9671
1985,4039533.0,34894411351.983
1986,4002543.0,34942489683.9712
1987,4114954.0,36373307085.0887
1988,4160580.0,39212550050.4223
1989,4205657.0,39540080200.3938
1990,4246658.0,47844090709.9908
1991,4310970.0,49175565911.0655
1992,4525959.0,58418985443.3172
1993,4599132.0,66446804802.5747
1994,4648335.0,81703500846.0364
1995,4692614.0,92507279383.0387
1996,4916934.0,97160109277.8087
1997,,106659508271.255
1998,5136274.0,98443739941.1664
1999,5162260.0,86186158684.7685
2000,5221018.0,99886577330.7271
2001,5131463.0,98211749595.5442
2002,5193055.0,97963003804.7851
2003,,94641378693.223
2004,5259033.0,117081522349.677
2005,5298257.0,145619191582.061
2006,5296190.0,161618581266.316
2007,5292476.0,206181826825.28
2008,5285523.0,242186950900.775
2009,5299258.0,232397835678.336
2010,5084972.0,286563105192.456
2011,4924346.0,334943871931.745
2012,4742456.0,370921320483.841
2013,4708466.0,382116126448.554
2014,4542644.0,381112119657.445
2015,4479218.0,293481748240.778
2016,4448238.0,282825009887.458
2017,4351705.0,311883730690.129
2018,4303833.0,334198214706.209
2019,4263988.0,323109543324.321
2020,4193542.0,270299982887.01
2021,,314322453228.295
