Year,Primary Enrollment,GDP
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,672455.0,
1972,689139.0,
1973,697540.0,
1974,700364.0,
1975,691700.0,
1976,676554.0,
1977,672390.0,
1978,682519.0,
1979,699852.0,
1980,,
1981,647029.0,
1982,683089.0,
1983,712249.0,
1984,721209.0,
1985,708522.0,
1986,694659.0,
1987,668890.0,
1988,633509.0,
1989,599705.0,
1990,566762.0,40728950704.6176
1991,545814.0,29859921158.8696
1992,537996.0,34805013229.572
1993,528750.0,40866748705.1075
1994,538612.0,47850203856.1751
1995,538743.0,60147174076.8651
1996,541671.0,67387788632.9812
1997,659263.0,62180159376.1239
1998,662647.0,66807429711.411
1999,654511.0,65173130995.2212
2000,644956.0,61828166496.0941
2001,630680.0,67808032979.5429
2002,603843.0,82196001050.7474
2003,566581.0,100090467581.268
2004,534366.0,119814434353.575
2005,502831.0,137143471328.274
2006,473269.0,156264095664.643
2007,462820.0,190183800884.018
2008,459899.0,236816485762.988
2009,460486.0,207434296805.33
2010,463357.0,209069940963.177
2011,468273.0,229562733398.948
2012,477413.0,208857719320.649
2013,491828.0,211685616592.931
2014,510613.0,209358834156.329
2015,534932.0,188033050459.881
2016,557455.0,196272068576.338
2017,575980.0,218628940951.675
2018,583522.0,248950103352.137
2019,581823.0,252498032247.163
2020,,245339322066.759
2021,,282340849856.614
