Year,Primary Enrollment,GDP
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,655427.0,
1972,716729.0,
1973,762686.0,
1974,859831.0,
1975,959822.0,
1976,1084307.0,
1977,1176636.0,
1978,1143207.0,
1979,1377703.0,
1980,1811251.0,
1981,2130716.0,7324903188.4058
1982,2374362.0,7707678019.32367
1983,2511050.0,8567890821.25604
1984,2497114.0,8096302367.14976
1985,2407380.0,9480840483.09179
1986,2448778.0,9848600869.56522
1987,2736517.0,10527338647.343
1988,2884033.0,10908935748.7923
1989,2855846.0,11476584879.2271
1990,2662214.0,12175166763.285
1991,2466464.0,13463868357.4879
1992,2063636.0,10492993077.6093
1993,1855894.0,8830712713.90781
1994,2283638.0,6927950564.55657
1995,2722192.0,7663984567.90123
1996,3380068.0,8547939730.62374
1997,4007694.0,8589211390.49612
1998,5092770.0,7818224905.55071
1999,5167582.0,7700833482.00615
2000,5847259.0,8242392103.68061
2001,6650841.0,8231326016.47494
2002,7213043.0,7850809498.16803
2003,7623074.0,8623691300.04079
2004,8269663.0,10131187261.4421
2005,10019729.0,12401139453.9738
2006,10971581.0,15280861834.6024
2007,12174719.0,19707616772.7996
2008,13379059.0,27066912635.2228
2009,13570558.0,32437389116.038
2010,13635289.0,29933790334.3418
2011,14297969.0,31952763089.33
2012,14532477.0,43310721414.0829
2013,,47648211133.2183
2014,15733276.0,55612228233.5179
2015,16198047.0,64589334978.8013
2016,,74296618481.0882
2017,,81770791970.982
2018,,84269348327.3454
2019,,95912590628.1412
2020,20419152.0,107657734392.446
2021,,111271112329.975
