Year,Primary Enrollment,GDP
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,528053.0,
1972,517494.0,
1973,518002.0,
1974,528074.0,
1975,548773.0,
1976,567331.0,
1977,584960.0,
1978,590268.0,
1979,584236.0,
1980,586230.0,
1981,602318.0,
1982,647100.0,
1983,682038.0,
1984,707729.0,
1985,708415.0,
1986,677387.0,
1987,644816.0,
1988,596965.0,
1989,561356.0,
1990,530993.0,
1991,506800.0,34753569692.915
1992,497771.0,38730585922.2189
1993,494107.0,40124916940.5945
1994,507617.0,43166678735.2183
1995,508003.0,46425677734.1435
1996,507238.0,46658755151.6017
1997,502555.0,47296952928.7561
1998,504046.0,48706787306.2574
1999,503302.0,49073380173.7159
2000,500946.0,47218405892.4258
2001,489768.0,53749989092.0197
2002,477865.0,67608919144.3684
2003,464013.0,85302003908.042
2004,446610.0,104141042625.791
2005,430561.0,113236711635.539
2006,415858.0,115751266695.185
2007,399250.0,140227560615.121
2008,394246.0,158374419641.016
2009,389510.0,131114229049.178
2010,387969.0,132231134158.608
2011,387262.0,141999960209.893
2012,384834.0,128857370476.631
2013,385466.0,135732595721.853
2014,393020.0,141078984816.675
2015,395549.0,125210324613.14
2016,394433.0,128636108315.474
2017,390970.0,143136245596.988
2018,373837.0,160586833778.457
2019,364424.0,163526491433.29
2020,,156743134665.959
2021,,182280517581.212
