Year,Primary Enrollment,GDP
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,1064000.0,
1982,,
1983,,
1984,,
1985,,
1986,1147700.0,
1987,,
1988,,
1989,1142400.0,
1990,1162777.0,26932729102.7371
1991,1205572.0,24923076923.0769
1992,1239817.0,24917355371.9008
1993,1258529.0,23409260879.9427
1994,1251111.0,21250792886.1054
1995,1367066.0,20374302652.3819
1996,1372600.0,21035368250.8881
1997,1342035.0,22165932062.966
1998,1290810.0,22135254836.0031
1999,1248900.0,16870821839.7584
2000,1208320.0,18291994909.0044
2001,1190069.0,22152694161.8882
2002,1158299.0,24636593223.3467
2003,1120005.0,30833699702.7594
2004,1079598.0,43151647002.6096
2005,1023974.0,57123671733.8952
2006,972931.0,81003884545.4099
2007,947807.0,104849886825.584
2008,956019.0,133441612246.798
2009,950976.0,115308661142.927
2010,957919.0,148047348240.643
2011,985599.0,192626507971.584
2012,1008459.0,207998568865.789
2013,1056916.0,236634552078.102
2014,1122282.0,221415572819.5
2015,1196027.0,184388432148.715
2016,1273774.0,137278320084.171
2017,1356500.0,166805800595.704
2018,1406967.0,179339994859.384
2019,1461448.0,181667190075.541
2020,1513077.0,171082379532.988
2021,,190814274226.211
