Year,Primary Enrollment,GDP
1960,,13040000000.0
1961,,14160000000.0
1962,,15200000000.0
1963,,16960000000.0
1964,,20080000000.0
1965,,21840000000.0
1966,,24320000000.0
1967,,26560000000.0
1968,,29360000000.0
1969,,32480000000.0
1970,,35520000000.0
1971,9248290.0,39200000000.0
1972,9711496.0,45200000000.0
1973,10195167.0,55280000000.0
1974,10762665.0,72000000000.0
1975,10999713.0,88000000000.0
1976,11461415.0,89025974025.974
1977,12148221.0,81814159292.0354
1978,12560035.0,102500000000.0
1979,13536265.0,134561403508.772
1980,14126414.0,205139086956.522
1981,14666257.0,263959336734.694
1982,14981028.0,184609157801.418
1983,15222916.0,156159198584.513
1984,15376153.0,184261495828.367
1985,15219245.0,195219789801.479
1986,15124160.0,134550096436.744
1987,14994642.0,147540738281.817
1988,14768008.0,181611549975.804
1989,14656357.0,221400669713.589
1990,14493763.0,261253582805.945
1991,14401588.0,313142768453.485
1992,14396993.0,363157598242.27
1993,14425669.0,500736065605.341
1994,14469450.0,527813238126.278
1995,14574202.0,360073909243.855
1996,14623438.0,410975595310.156
1997,14650521.0,500413483109.175
1998,14647797.0,526502129378.284
1999,14697915.0,600232874042.927
2000,14765603.0,707906744574.644
2001,14792528.0,756706300589.791
2002,14843381.0,772106378935.377
2003,14857191.0,729336319677.449
2004,14781327.0,782240601984.76
2005,14700005.0,877476221382.101
2006,14595195.0,975387131716.089
2007,14631498.0,1052696282278.87
2008,14699146.0,1109989063586.62
2009,14861232.0,900045350649.351
2010,14906476.0,1057801295584.05
2011,14934663.0,1180489601957.61
2012,14956982.0,1201089987015.45
2013,14837204.0,1274443084716.57
2014,14627368.0,1315351183524.54
2015,14397928.0,1171867608197.72
2016,14297027.0,1078490651625.31
2017,14182288.0,1158913035796.37
2018,14061377.0,1222408203104.3
2019,14012770.0,1269404276770.7
2020,,1087117783073.31
2021,,1293037866360.17
