Year,Primary Enrollment,GDP
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,7403715.0,
1977,7722524.0,
1978,7784587.0,
1979,7337436.0,
1980,7923495.0,
1981,7887439.0,
1982,,
1983,7884202.0,
1984,7993019.0,
1985,8005981.0,14094687820.7445
1986,8125836.0,26336616250.4397
1987,8484685.0,36658108850.3148
1988,8666252.0,25423812648.5941
1989,8663481.0,6293304974.59403
1990,8583052.0,6471740805.56984
1991,8862292.0,9613369520.41885
1992,9090800.0,9866990236.43587
1993,9527200.0,13180953598.1716
1994,9782900.0,16286433533.3228
1995,10047564.0,20736164458.9505
1996,10228800.0,24657470574.7501
1997,10431300.0,26843700441.5482
1998,10435508.0,27209602050.0452
1999,10250214.0,28683659006.7752
2000,10063025.0,31172518403.3162
2001,9751434.0,32685198735.3053
2002,9336913.0,35064105500.8344
2003,8841004.0,39552513316.0734
2004,8350191.0,45427854693.2554
2005,7773484.0,57633255618.2731
2006,7317813.0,66371664817.0436
2007,7041312.0,77414425532.2452
2008,6871795.0,99130304099.1274
2009,6745016.0,106014659770.222
2010,6922624.0,147198853578.923
2011,7048493.0,172595960457.831
2012,7100950.0,195592471672.748
2013,7202767.0,213710932339.105
2014,7434848.0,233449971628.523
2015,7543632.0,239257234710.757
2016,7790009.0,257095955975.529
2017,7801560.0,281353402175.236
2018,8041842.0,308702086757.617
2019,8506562.0,330391329475.734
2020,8718356.0,343242570827.351
2021,,362637524070.969
